symbol	GeneID
PALMD	ENSG00000099260
DVL1	ENSG00000107404
BCL9	ENSG00000116128
PRRX1	ENSG00000116132
DHCR24	ENSG00000116133
DNAJC16	ENSG00000116138
MARK1	ENSG00000116141
TNR	ENSG00000116147
MORN1	ENSG00000116151
GPX7	ENSG00000116157
CACYBP	ENSG00000116161
SCP2	ENSG00000116171
PAPPA2	ENSG00000116183
RALGPS2	ENSG00000116191
ANGPTL1	ENSG00000116194
CEP104	ENSG00000116198
TCEANC2	ENSG00000116205
TMEM59	ENSG00000116209
LRRC42	ENSG00000116212
WRAP73	ENSG00000116213
MRPL37	ENSG00000116221
STXBP3	ENSG00000116266
PHF13	ENSG00000116273
ELAPOR1	ENSG00000116299
OPRD1	ENSG00000116329
AMPD2	ENSG00000116337
SRSF4	ENSG00000116350
MECR	ENSG00000116353
KCNC4	ENSG00000116396
EDEM3	ENSG00000116406
WDR77	ENSG00000116455
ATP5PB	ENSG00000116459
RAP1A	ENSG00000116473
HDAC1	ENSG00000116478
CAPZA1	ENSG00000116489
S100PBP	ENSG00000116497
RNF19B	ENSG00000116514
SCAMP3	ENSG00000116521
TRIM62	ENSG00000116525
ASH1L	ENSG00000116539
DLGAP3	ENSG00000116544
SFPQ	ENSG00000116560
RHOU	ENSG00000116574
GON4L	ENSG00000116580
ARHGEF2	ENSG00000116584
LAMTOR2	ENSG00000116586
MEF2D	ENSG00000116604
DOCK7	ENSG00000116641
SRM	ENSG00000116649
DLEU2L	ENSG00000116652
FBXO2	ENSG00000116661
FBXO6	ENSG00000116663
C1orf21	ENSG00000116667
SWT1	ENSG00000116668
MAD2L2	ENSG00000116670
DNAJC6	ENSG00000116675
LEPR	ENSG00000116678
IVNS1ABP	ENSG00000116679
KIAA2013	ENSG00000116685
MFN2	ENSG00000116688
PRG4	ENSG00000116690
MIIP	ENSG00000116691
SMG7	ENSG00000116698
NCF2	ENSG00000116701
PDC	ENSG00000116703
SLC35D1	ENSG00000116704
PLA2G4A	ENSG00000116711
GADD45A	ENSG00000116717
PRAMEF1	ENSG00000116721
PRAMEF12	ENSG00000116726
WLS	ENSG00000116729
PRDM2	ENSG00000116731
RGS2	ENSG00000116741
RPE65	ENSG00000116745
RO60	ENSG00000116747
AMPD1	ENSG00000116748
UCHL5	ENSG00000116750
BCAS2	ENSG00000116752
SRSF11	ENSG00000116754
CTH	ENSG00000116761
AGMAT	ENSG00000116771
OLFML3	ENSG00000116774
TNNI3K	ENSG00000116783
CFHR3	ENSG00000116785
PLEKHM2	ENSG00000116786
CRYZ	ENSG00000116791
PHTF1	ENSG00000116793
ZBTB17	ENSG00000116809
CD58	ENSG00000116815
TFAP2E	ENSG00000116819
CD2	ENSG00000116824
TTF2	ENSG00000116830
NR5A2	ENSG00000116833
KIF21B	ENSG00000116852
TMEM9	ENSG00000116857
ADPRS	ENSG00000116863
MAP7D1	ENSG00000116871
WARS2	ENSG00000116874
HAO2	ENSG00000116882
OSCP1	ENSG00000116885
MRPS15	ENSG00000116898
EXOC8	ENSG00000116903
GNPAT	ENSG00000116906
TSNAX	ENSG00000116918
C1orf109	ENSG00000116922
RRAGC	ENSG00000116954
NID1	ENSG00000116962
LGALS8	ENSG00000116977
NT5C1A	ENSG00000116981
HPCAL4	ENSG00000116983
MTR	ENSG00000116984
BMP8B	ENSG00000116985
MYCL	ENSG00000116990
SIPA1L2	ENSG00000116991
ZP4	ENSG00000116996
RLF	ENSG00000117000
KMO	ENSG00000117009
ZNF684	ENSG00000117010
KCNQ4	ENSG00000117013
RIMS3	ENSG00000117016
AKT3	ENSG00000117020
ETV3	ENSG00000117036
ACADM	ENSG00000117054
ST6GALNAC5	ENSG00000117069
SLAMF1	ENSG00000117090
CD48	ENSG00000117091
ADGRL2	ENSG00000117114
PADI2	ENSG00000117115
SDHB	ENSG00000117118
MFAP2	ENSG00000117122
RPF1	ENSG00000117133
UAP1	ENSG00000117143
ACTL8	ENSG00000117148
CTBS	ENSG00000117151
KLHL12	ENSG00000117153
IGSF21	ENSG00000117154
SSX2IP	ENSG00000117155
ZNHIT6	ENSG00000117174
PLA2G2D	ENSG00000117215
RBBP5	ENSG00000117222
GBP3	ENSG00000117226
GBP1	ENSG00000117228
PINK1-AS	ENSG00000117242
KIF17	ENSG00000117245
GPR89A	ENSG00000117262
CDK18	ENSG00000117266
RAB29	ENSG00000117280
CD160	ENSG00000117281
ECE1	ENSG00000117298
HMGCL	ENSG00000117305
GALE	ENSG00000117308
ID3	ENSG00000117318
CD46	ENSG00000117335
PRPF3	ENSG00000117360
APH1A	ENSG00000117362
P3H1	ENSG00000117385
SLC2A1	ENSG00000117394
EBNA1BP2	ENSG00000117395
CDC20	ENSG00000117399
MPL	ENSG00000117400
ARTN	ENSG00000117407
IPO13	ENSG00000117408
ATP6V0B	ENSG00000117410
B4GALT2	ENSG00000117411
ERI3	ENSG00000117419
PTCH2	ENSG00000117425
AKR1A1	ENSG00000117448
PRDX1	ENSG00000117450
PIK3R3	ENSG00000117461
TSPAN1	ENSG00000117472
BLZF1	ENSG00000117475
CCDC181	ENSG00000117477
SLC19A2	ENSG00000117479
FAAH	ENSG00000117480
NSUN4	ENSG00000117481
TMED5	ENSG00000117500
MROH9	ENSG00000117501
DR1	ENSG00000117505
FMO6P	ENSG00000117507
CNN3	ENSG00000117519
PRRC2C	ENSG00000117523
F3	ENSG00000117525
ABCD3	ENSG00000117528
VAMP4	ENSG00000117533
DPH5	ENSG00000117543
FASLG	ENSG00000117560
TNFSF4	ENSG00000117586
PRDX6	ENSG00000117592
DARS2	ENSG00000117593
HSD11B1	ENSG00000117594
IRF6	ENSG00000117595
UTP25	ENSG00000117597
PLPPR5	ENSG00000117598
PLPPR4	ENSG00000117600
SERPINC1	ENSG00000117601
RCAN3	ENSG00000117602
SYF2	ENSG00000117614
RSRP1	ENSG00000117616
SLC35A3	ENSG00000117620
RCOR3	ENSG00000117625
STMN1	ENSG00000117632
MTFR1L	ENSG00000117640
MAN1C1	ENSG00000117643
NEK2	ENSG00000117650
NENF	ENSG00000117691
NSL1	ENSG00000117697
PROX1	ENSG00000117707
ARID1A	ENSG00000117713
RPA2	ENSG00000117748
PPP1R8	ENSG00000117751
STX12	ENSG00000117758
MTARC2	ENSG00000117791
OSBPL9	ENSG00000117859
TXNDC12	ENSG00000117862
KIF14	ENSG00000118193
TNNT2	ENSG00000118194
DDX59	ENSG00000118197
CAMSAP2	ENSG00000118200
ATF6	ENSG00000118217
C1orf54	ENSG00000118292
CA14	ENSG00000118298
ANKRD13C	ENSG00000118454
SGIP1	ENSG00000118473
DCLRE1B	ENSG00000118655
CASQ2	ENSG00000118729
OLFM3	ENSG00000118733
RAB3GAP2	ENSG00000118873
C1orf198	ENSG00000119280
TRIM67	ENSG00000119283
HEATR1	ENSG00000119285
TNN	ENSG00000120332
MRPS14	ENSG00000120333
CENPL	ENSG00000120334
TNFSF18	ENSG00000120337
SEC16B	ENSG00000120341
GORAB	ENSG00000120370
TAF12	ENSG00000120656
NPPB	ENSG00000120937
TNFRSF8	ENSG00000120949
PRAMEF2	ENSG00000120952
ECHDC2	ENSG00000121310
RGSL1	ENSG00000121446
RNF2	ENSG00000121481
TRMT1L	ENSG00000121486
GJA8	ENSG00000121634
DESI2	ENSG00000121644
ADGRB2	ENSG00000121753
HCRTR1	ENSG00000121764
ZCCHC17	ENSG00000121766
FABP3	ENSG00000121769
KHDRBS1	ENSG00000121774
TMEM39B	ENSG00000121775
POLR3GL	ENSG00000121851
TMEM54	ENSG00000121900
ZSCAN20	ENSG00000121903
CSMD2	ENSG00000121904
HPCA	ENSG00000121905
LRIF1	ENSG00000121931
TMIGD3	ENSG00000121933
CLCC1	ENSG00000121940
GPSM2	ENSG00000121957
MYOG	ENSG00000122180
LAX1	ENSG00000122188
COPA	ENSG00000122218
CD244	ENSG00000122223
LY9	ENSG00000122224
RPL5	ENSG00000122406
PTGFR	ENSG00000122420
TRMT13	ENSG00000122435
LRRC39	ENSG00000122477
RWDD3	ENSG00000122481
ZNF644	ENSG00000122482
CCDC18	ENSG00000122483
RPAP2	ENSG00000122484
CDKN2C	ENSG00000123080
RNF11	ENSG00000123091
ATPAF1	ENSG00000123472
STIL	ENSG00000123473
LPGAT1	ENSG00000123684
BATF3	ENSG00000123685
G0S2	ENSG00000123689
PFKFB2	ENSG00000123836
C4BPA	ENSG00000123838
C4BPB	ENSG00000123843
MSTO1	ENSG00000125459
ATG4C	ENSG00000125703
ZNF436	ENSG00000125945
PSMB2	ENSG00000126067
UROD	ENSG00000126088
ST3GAL3	ENSG00000126091
TMEM53	ENSG00000126106
HECTD3	ENSG00000126107
DNAJC8	ENSG00000126698
AHDC1	ENSG00000126705
IFI6	ENSG00000126709
INTS11	ENSG00000127054
RGS13	ENSG00000127074
HIVEP3	ENSG00000127124
PPCS	ENSG00000127125
EDN2	ENSG00000127129
AUNIP	ENSG00000127423
EMC1	ENSG00000127463
PLA2G5	ENSG00000127472
UBR4	ENSG00000127481
HP1BP3	ENSG00000127483
MACF1	ENSG00000127603
CEP85	ENSG00000130695
ARHGEF16	ENSG00000130762
LRRC47	ENSG00000130764
SESN2	ENSG00000130766
SMPDL3B	ENSG00000130768
ATP5IF1	ENSG00000130770
MED18	ENSG00000130772
THEMIS2	ENSG00000130775
UBE4B	ENSG00000130939
CASZ1	ENSG00000130940
GJA9	ENSG00000131233
CAP1	ENSG00000131236
PPT1	ENSG00000131238
ACAP3	ENSG00000131584
C1orf159	ENSG00000131591
NPHP4	ENSG00000131697
PEX11B	ENSG00000131779
PIAS3	ENSG00000131788
PRKAB2	ENSG00000131791
NR0B2	ENSG00000131910
LIN28A	ENSG00000131914
LRRC41	ENSG00000132128
FCRLA	ENSG00000132185
HSD17B7	ENSG00000132196
ZRANB2	ENSG00000132485
DAP3	ENSG00000132676
RHBG	ENSG00000132677
KHDC4	ENSG00000132680
ATP1A4	ENSG00000132681
NES	ENSG00000132688
BCAN	ENSG00000132692
CRP	ENSG00000132693
ARHGEF11	ENSG00000132694
RAB25	ENSG00000132698
HAPLN2	ENSG00000132702
APCS	ENSG00000132703
FCRL2	ENSG00000132704
DCAF8	ENSG00000132716
SYT11	ENSG00000132718
MMACHC	ENSG00000132763
TOE1	ENSG00000132773
NASP	ENSG00000132780
MUTYH	ENSG00000132781
PATJ	ENSG00000132849
KANK4	ENSG00000132854
ANGPTL3	ENSG00000132855
FBXO44	ENSG00000132879
CPLANE2	ENSG00000132881
CASP9	ENSG00000132906
CHRM3	ENSG00000133019
CHI3L1	ENSG00000133048
MYBPH	ENSG00000133055
PIK3C2B	ENSG00000133056
DSTYK	ENSG00000133059
CHIT1	ENSG00000133063
SLC41A1	ENSG00000133065
LGR6	ENSG00000133067
TMCC2	ENSG00000133069
EPHB2	ENSG00000133216
GNAT2	ENSG00000134183
PRPF38B	ENSG00000134186
REG4	ENSG00000134193
TSPAN2	ENSG00000134198
TSHB	ENSG00000134200
SYT6	ENSG00000134207
VAV3	ENSG00000134215
CHIA	ENSG00000134216
PSRC1	ENSG00000134222
HMGCS2	ENSG00000134240
PTPN22	ENSG00000134242
SORT1	ENSG00000134243
WNT2B	ENSG00000134245
PTGFRN	ENSG00000134247
LAMTOR5	ENSG00000134248
ADAM30	ENSG00000134249
NOTCH2	ENSG00000134250
TRIM45	ENSG00000134253
CD101	ENSG00000134256
VTCN1	ENSG00000134258
NGF	ENSG00000134259
AP4B1	ENSG00000134262
NAV1	ENSG00000134369
CDC73	ENSG00000134371
TIMM17A	ENSG00000134375
CRB1	ENSG00000134376
PUM1	ENSG00000134644
SPOCD1	ENSG00000134668
YARS1	ENSG00000134684
CDCA8	ENSG00000134690
GNL2	ENSG00000134697
AGO4	ENSG00000134698
HOOK1	ENSG00000134709
CYP2J2	ENSG00000134716
BTF3L4	ENSG00000134717
TUT4	ENSG00000134744
PRPF38A	ENSG00000134748
AGT	ENSG00000135744
ZNF670-ZNF695	ENSG00000135747
PCNX2	ENSG00000135749
KCNK1	ENSG00000135750
URB2	ENSG00000135763
EGLN1	ENSG00000135766
CAPN9	ENSG00000135773
COG2	ENSG00000135775
ABCB10	ENSG00000135776
NTPCR	ENSG00000135778
GLUL	ENSG00000135821
STX6	ENSG00000135823
RGS8	ENSG00000135824
RNASEL	ENSG00000135828
DHX9	ENSG00000135829
NPL	ENSG00000135838
NIBAN1	ENSG00000135842
PIGC	ENSG00000135845
LAMC1	ENSG00000135862
RC3H1	ENSG00000135870
EPRS1	ENSG00000136628
HLX	ENSG00000136630
VPS45	ENSG00000136631
IL10	ENSG00000136634
KCTD3	ENSG00000136636
RPS6KC1	ENSG00000136643
BCAR3	ENSG00000137936
TTLL7	ENSG00000137941
FNBP1L	ENSG00000137942
KYAT3	ENSG00000137944
GTF2B	ENSG00000137947
BRDT	ENSG00000137948
RABGGTB	ENSG00000137955
IFI44L	ENSG00000137959
GIPC2	ENSG00000137960
ARHGAP29	ENSG00000137962
IFI44	ENSG00000137965
SLC44A5	ENSG00000137968
RPL7P9	ENSG00000137970
CLCA2	ENSG00000137975
DNASE2B	ENSG00000137976
DBT	ENSG00000137992
RTCA	ENSG00000137996
IL19	ENSG00000142224
SLC2A5	ENSG00000142583
MMEL1	ENSG00000142606
CFAP74	ENSG00000142609
PRDM16	ENSG00000142611
CELA2A	ENSG00000142615
PADI3	ENSG00000142619
FHAD1	ENSG00000142621
PADI1	ENSG00000142623
EPHA2	ENSG00000142627
ARHGEF19	ENSG00000142632
EFHD2	ENSG00000142634
PEX14	ENSG00000142655
PGD	ENSG00000142657
MYOM3	ENSG00000142661
SH3BGRL3	ENSG00000142669
CNKSR1	ENSG00000142675
RPL11	ENSG00000142676
IL22RA1	ENSG00000142677
ZNF593	ENSG00000142684
C1orf216	ENSG00000142686
KIAA0319L	ENSG00000142687
EVA1B	ENSG00000142694
C1orf94	ENSG00000142698
DMRTA2	ENSG00000142700
MAP3K6	ENSG00000142733
GPN2	ENSG00000142751
SYTL1	ENSG00000142765
CELA3A	ENSG00000142789
NBPF3	ENSG00000142794
HSPG2	ENSG00000142798
ITGB3BP	ENSG00000142856
SERBP1	ENSG00000142864
CCN1	ENSG00000142871
PRKACB	ENSG00000142875
PIGK	ENSG00000142892
TINAGL1	ENSG00000142910
AZIN2	ENSG00000142920
RPS8	ENSG00000142937
KIF2C	ENSG00000142945
PTPRF	ENSG00000142949
BEST4	ENSG00000142959
MOB3C	ENSG00000142961
CYP4B1	ENSG00000142973
TMEM61	ENSG00000143001
DMRTB1	ENSG00000143006
LMO4	ENSG00000143013
SYPL2	ENSG00000143028
BARHL2	ENSG00000143032
MTF2	ENSG00000143033
SLC44A3	ENSG00000143036
IGSF3	ENSG00000143061
ZNF697	ENSG00000143067
CTTNBP2NL	ENSG00000143079
STRIP1	ENSG00000143093
KCNA10	ENSG00000143105
PSMA5	ENSG00000143106
FNDC7	ENSG00000143107
C1orf162	ENSG00000143110
CD53	ENSG00000143119
PROK1	ENSG00000143125
CELSR2	ENSG00000143126
ITGA10	ENSG00000143127
GPR161	ENSG00000143147
ALDH9A1	ENSG00000143149
ATP1B1	ENSG00000143153
TIPRL	ENSG00000143155
NME7	ENSG00000143156
POGK	ENSG00000143157
MPC2	ENSG00000143158
DCAF6	ENSG00000143164
GPA33	ENSG00000143167
RXRG	ENSG00000143171
TBX19	ENSG00000143178
UCK2	ENSG00000143179
TMCO1	ENSG00000143183
XCL1	ENSG00000143184
XCL2	ENSG00000143185
POU2F1	ENSG00000143190
MAEL	ENSG00000143194
ILDR2	ENSG00000143195
DPT	ENSG00000143196
MGST3	ENSG00000143198
ADCY10	ENSG00000143199
COP1	ENSG00000143207
NECTIN4	ENSG00000143217
UFC1	ENSG00000143222
PPOX	ENSG00000143224
NUF2	ENSG00000143228
RGS5	ENSG00000143248
SDHC	ENSG00000143252
PFDN2	ENSG00000143256
NR1I3	ENSG00000143257
USP21	ENSG00000143258
F13B	ENSG00000143278
PRCC	ENSG00000143294
FCRL5	ENSG00000143297
METTL25B	ENSG00000143303
MRPL24	ENSG00000143314
PIGM	ENSG00000143315
CASQ1	ENSG00000143318
ISG20L2	ENSG00000143319
CRABP2	ENSG00000143320
HDGF	ENSG00000143321
XPR1	ENSG00000143324
RGS16	ENSG00000143333
HMCN1	ENSG00000143341
RGL1	ENSG00000143344
LYPLAL1	ENSG00000143353
LHX9	ENSG00000143355
PRUNE1	ENSG00000143363
RORC	ENSG00000143365
SF3B4	ENSG00000143368
ECM1	ENSG00000143369
TARS2	ENSG00000143374
SNX27	ENSG00000143376
SETDB1	ENSG00000143379
ADAMTSL4	ENSG00000143382
MCL1	ENSG00000143384
CTSK	ENSG00000143387
PIP5K1A	ENSG00000143398
ANP32E	ENSG00000143401
MINDY1	ENSG00000143409
ANXA9	ENSG00000143412
CERS2	ENSG00000143418
ENSA	ENSG00000143420
SEMA6C	ENSG00000143434
MRPL9	ENSG00000143436
ARNT	ENSG00000143437
C1orf56	ENSG00000143443
OAZ3	ENSG00000143450
HORMAD1	ENSG00000143452
GOLPH3L	ENSG00000143457
GABPB2	ENSG00000143458
DTL	ENSG00000143476
DYRK3	ENSG00000143479
EIF2D	ENSG00000143486
INTS7	ENSG00000143493
VASH2	ENSG00000143494
TAF1A	ENSG00000143498
SMYD2	ENSG00000143499
SUSD4	ENSG00000143502
DUSP10	ENSG00000143507
HHIPL2	ENSG00000143512
TP53BP2	ENSG00000143514
ATP8B2	ENSG00000143515
FLG2	ENSG00000143520
CRNN	ENSG00000143536
ADAM15	ENSG00000143537
JTB	ENSG00000143543
RAB13	ENSG00000143545
S100A8	ENSG00000143546
SNAPIN	ENSG00000143553
S100A7	ENSG00000143556
UBAP2L	ENSG00000143569
SLC39A1	ENSG00000143570
HAX1	ENSG00000143575
CREB3L4	ENSG00000143578
EFNA3	ENSG00000143590
AQP10	ENSG00000143595
KCNN3	ENSG00000143603
C1orf43	ENSG00000143612
ILF2	ENSG00000143621
PKLR	ENSG00000143627
HCN3	ENSG00000143630
FLG	ENSG00000143631
ACTA1	ENSG00000143632
C1orf131	ENSG00000143633
GALNT2	ENSG00000143641
TTC13	ENSG00000143643
SCCPDH	ENSG00000143653
LYST	ENSG00000143669
MAP3K21	ENSG00000143674
SNAP47	ENSG00000143740
SRP9	ENSG00000143742
NVL	ENSG00000143748
SDE2	ENSG00000143751
DEGS1	ENSG00000143753
FBXO28	ENSG00000143756
LEFTY2	ENSG00000143768
CNIH4	ENSG00000143771
ITPKB	ENSG00000143772
CDC42BPA	ENSG00000143776
CNIH3	ENSG00000143786
C1orf35	ENSG00000143793
PARP1	ENSG00000143799
PSEN2	ENSG00000143801
PYCR2	ENSG00000143811
LBR	ENSG00000143815
EPHX1	ENSG00000143819
REN	ENSG00000143839
SOX13	ENSG00000143842
ETNK2	ENSG00000143845
PPFIA4	ENSG00000143847
PLEKHA6	ENSG00000143850
PTPN7	ENSG00000143851
ARL8A	ENSG00000143862
ZMYM4	ENSG00000146463
PLCH2	ENSG00000149527
FCGR1A	ENSG00000150337
RGS18	ENSG00000150681
	ENSG00000150732
NEK7	ENSG00000151414
ATP6V1G3	ENSG00000151418
RABGAP1L	ENSG00000152061
TLCD4	ENSG00000152078
ASTN1	ENSG00000152092
PTPN14	ENSG00000152104
UHMK1	ENSG00000152332
TADA1	ENSG00000152382
DYNLT5	ENSG00000152760
DNAI4	ENSG00000152763
GGPS1	ENSG00000152904
MR1	ENSG00000153029
AHCTF1	ENSG00000153207
OR14K1	ENSG00000153230
MCOLN2	ENSG00000153898
DDAH1	ENSG00000153904
HS2ST1	ENSG00000153936
ASB17	ENSG00000154007
AK5	ENSG00000154027
CC2D1B	ENSG00000154222
MIA3	ENSG00000154305
DISP1	ENSG00000154309
WNT3A	ENSG00000154342
OBSCN	ENSG00000154358
TRIM11	ENSG00000154370
ENAH	ENSG00000154380
CCSAP	ENSG00000154429
GBP5	ENSG00000154451
DIPK1A	ENSG00000154511
MOV10	ENSG00000155363
RHOC	ENSG00000155366
PPM1J	ENSG00000155367
SLC16A1	ENSG00000155380
SPAG17	ENSG00000155761
FMN2	ENSG00000155816
GPR61	ENSG00000156097
ALX3	ENSG00000156150
DRAM2	ENSG00000156171
FRRS1	ENSG00000156869
MFSD14A	ENSG00000156875
SASS6	ENSG00000156876
SHCBP1L	ENSG00000157060
NMNAT2	ENSG00000157064
ZFYVE9	ENSG00000157077
C8A	ENSG00000157131
ODR4	ENSG00000157181
CPT2	ENSG00000157184
NECAP2	ENSG00000157191
LRP8	ENSG00000157193
CFAP107	ENSG00000157330
PRXL2B	ENSG00000157870
TNFRSF14	ENSG00000157873
PANK4	ENSG00000157881
PEX10	ENSG00000157911
RER1	ENSG00000157916
LDLRAP1	ENSG00000157978
PAFAH2	ENSG00000158006
EXTL1	ENSG00000158008
SLC30A2	ENSG00000158014
TRIM63	ENSG00000158022
GRHL3	ENSG00000158055
UBXN11	ENSG00000158062
TPRG1L	ENSG00000158109
XKR8	ENSG00000158156
EYA3	ENSG00000158161
TENT5B	ENSG00000158246
RHBDL2	ENSG00000158315
CD1A	ENSG00000158477
CD1C	ENSG00000158481
CD1B	ENSG00000158485
CD1E	ENSG00000158488
PPP1R15B	ENSG00000158615
TAGLN2	ENSG00000158710
ELK4	ENSG00000158711
SLAMF8	ENSG00000158714
SLC45A3	ENSG00000158715
DUSP23	ENSG00000158716
OR10J6P	ENSG00000158731
ITLN2	ENSG00000158764
F11R	ENSG00000158769
USF1	ENSG00000158773
PLA2G2F	ENSG00000158786
NIT1	ENSG00000158793
DEDD	ENSG00000158796
VWA5B1	ENSG00000158816
CDA	ENSG00000158825
PINK1	ENSG00000158828
B4GALT3	ENSG00000158850
ADAMTS4	ENSG00000158859
NDUFS2	ENSG00000158864
FCER1G	ENSG00000158869
APOA2	ENSG00000158874
TOMM40L	ENSG00000158882
MPZ	ENSG00000158887
CACHD1	ENSG00000158966
SV2A	ENSG00000159164
LAD1	ENSG00000159166
TNNI1	ENSG00000159173
CSRP1	ENSG00000159176
C1QC	ENSG00000159189
CIART	ENSG00000159208
CCDC24	ENSG00000159214
PADI4	ENSG00000159339
ADIPOR1	ENSG00000159346
CYB5R1	ENSG00000159348
PSMD4	ENSG00000159352
ATP13A2	ENSG00000159363
CELF3	ENSG00000159409
ALDH4A1	ENSG00000159423
THEM4	ENSG00000159445
TCHH	ENSG00000159450
LCE2B	ENSG00000159455
MED8	ENSG00000159479
SPRR2G	ENSG00000159516
PGLYRP3	ENSG00000159527
CCDC17	ENSG00000159588
